"country","unemploymentRate","pop2020"
"Cambodia","0.3000","16718.9650"
"Qatar","0.6000","2881.0530"
"Thailand","0.7000","69799.9780"
"Benin","1","12123.2000"
"Belarus","1","9449.3230"
"Gibraltar","1","33.6910"
"Falkland Islands","1","3.4800"
"Tonga","1.1000","105.6950"
"Isle of Man","1.1000","85.0330"
"Laos","1.5000","7275.5600"
"United Arab Emirates","1.6000","9890.4020"
"Vanuatu","1.7000","307.1450"
"Palau","1.7000","18.0940"
"Macau","2","649.3350"
"Monaco","2","39.2420"
"Madagascar","2.1000","27691.0180"
"Kuwait","2.1000","4270.5710"
"Vietnam","2.2000","97338.5790"
"Cuba","2.2000","11326.6160"
"Singapore","2.2000","5850.3420"
"Faroe Islands","2.2000","48.8630"
"Guatemala","2.3000","17915.5680"
"Tajikistan","2.4000","9537.6450"
"Liechtenstein","2.4000","38.1280"
"Papua New Guinea","2.5000","8947.0240"
"Niger","2.6000","24206.6440"
"Rwanda","2.7000","12952.2180"
"Guinea","2.8000","13132.7950"
"Czech Republic","2.8000","10708.9810"
"Liberia","2.8000","5057.6810"
"Iceland","2.8000","341.2430"
"Japan","2.9000","126476.4610"
"Maldives","2.9000","540.5440"
"British Virgin Islands","2.9000","30.2310"
"Nepal","3","29136.8080"
"Switzerland","3","8654.6220"
"Hong Kong","3.1000","7496.9810"
"Bhutan","3.2000","771.6080"
"Malaysia","3.4000","32365.9990"
"Mexico","3.6000","128932.7530"
"South Korea","3.7000","51269.1850"
"Andorra","3.7000","77.2650"
"Germany","3.8000","83783.9420"
"Taiwan","3.8000","23816.7750"
"Bahrain","3.8000","1701.5750"
"China","3.9000","1439323.7760"
"Bangladesh","4","164689.3830"
"Myanmar","4","54409.8000"
"Bolivia","4","11673.0210"
"Norway","4","5421.2410"
"Cayman Islands","4","65.7220"
"Moldova","4.1000","4033.9630"
"Seychelles","4.1000","98.3470"
"Cameroon","4.3000","26545.8630"
"Israel","4.3000","8655.5350"
"United States","4.4000","331002.6510"
"United Kingdom","4.4000","67886.0110"
"Hungary","4.4000","9660.3510"
"Timor-Leste","4.4000","1318.4450"
"Malta","4.4000","441.5430"
"Sri Lanka","4.5000","21413.2490"
"Trinidad and Tobago","4.5000","1399.4880"
"Guam","4.5000","168.7750"
"Saint Kitts and Nevis","4.5000","53.1990"
"Ecuador","4.6000","17643.0540"
"Poland","4.8000","37846.6110"
"Netherlands","4.8000","17134.8720"
"Uzbekistan","4.9000","33469.2030"
"New Zealand","4.9000","4822.2330"
"Kazakhstan","5","18776.7070"
"Romania","5.3000","19237.6910"
"Russia","5.5000","145934.4620"
"Dominican Republic","5.5000","10847.9100"
"Austria","5.5000","9006.3980"
"Panama","5.5000","4314.7670"
"Fiji","5.5000","896.4450"
"Indonesia","5.6000","273523.6150"
"Australia","5.6000","25499.8840"
"Montserrat","5.6000","4.9920"
"Philippines","5.7000","109581.0780"
"Saudi Arabia","5.8000","34813.8710"
"Denmark","5.8000","5792.2020"
"Honduras","5.9000","9904.6070"
"Estonia","5.9000","1326.5350"
"Pakistan","6","220892.3400"
"Azerbaijan","6","10139.1770"
"Luxembourg","6.1000","625.9780"
"Bulgaria","6.2000","6948.4450"
"Ireland","6.4000","4937.7860"
"Canada","6.5000","37742.1540"
"Paraguay","6.5000","7132.5380"
"Nicaragua","6.5000","6624.5540"
"Comoros","6.5000","869.6010"
"Angola","6.6000","32866.2720"
"Sweden","6.6000","10099.2650"
"Slovenia","6.6000","2078.9380"
"Peru","6.7000","32971.8540"
"Togo","6.9000","8278.7240"
"Central African Republic","6.9000","4829.7670"
"Mauritius","6.9000","1271.7680"
"Brunei","6.9000","437.4790"
"Aruba","6.9000","106.7660"
"Chile","7","19116.2010"
"El Salvador","7","6486.2050"
"Lithuania","7","2722.2890"
"Bermuda","7","62.2780"
"Belgium","7.3000","11589.6230"
"Uruguay","7.3000","3473.7300"
"Mongolia","7.3000","3278.2900"
"Kyrgyzstan","7.4000","6524.1950"
"San Marino","8","33.9310"
"Anguilla","8","15.0030"
"Argentina","8.1000","45195.7740"
"Mali","8.1000","20250.8330"
"Slovakia","8.1000","5459.6420"
"Costa Rica","8.1000","5094.1180"
"Finland","8.6000","5540.7200"
"Eritrea","8.6000","3546.4210"
"Equatorial Guinea","8.6000","1402.9850"
"Saint Pierre and Miquelon","8.7000","5.7940"
"India","8.8000","1380004.3850"
"Wallis and Futuna","8.8000","11.2390"
"Latvia","9","1886.1980"
"Cape Verde","9","555.9870"
"Sierra Leone","9.1000","7976.9830"
"Suriname","9.1000","586.6320"
"Greenland","9.1000","56.7700"
"Uganda","9.4000","45741.0070"
"Ivory Coast","9.4000","26378.2740"
"France","9.5000","65273.5110"
"Ukraine","9.5000","43733.7620"
"Portugal","9.7000","10196.7090"
"Morocco","10","36910.5600"
"Bahamas","10","393.2440"
"Turks and Caicos Islands","10","38.7170"
"Belize","10.1000","397.6280"
"Tanzania","10.3000","59734.2180"
"Jamaica","10.4000","2961.1670"
"United States Virgin Islands","10.4000","104.4250"
"Colombia","10.5000","50882.8910"
"Barbados","10.5000","287.3750"
"Turkmenistan","11","6031.2000"
"Antigua and Barbuda","11","97.9290"
"Italy","11.1000","60461.8260"
"Guyana","11.1000","786.5520"
"Turkey","11.2000","84339.0670"
"Northern Mariana Islands","11.2000","57.5590"
"Zimbabwe","11.3000","14862.9240"
"Georgia","11.5000","3989.1670"
"Puerto Rico","11.5000","2860.8530"
"Algeria","11.7000","43851.0440"
"Mauritania","11.7000","4649.6580"
"Brazil","11.8000","212559.4170"
"Cyprus","11.8000","1207.3590"
"Egypt","11.9000","102334.4040"
"Ghana","11.9000","31072.9400"
"Sint Maarten","12","42.8760"
"Niue","12","1.6260"
"Sao Tome and Principe","12.2000","219.1590"
"Iran","12.4000","83992.9490"
"Croatia","12.4000","4105.2670"
"Curacao","13","164.0930"
"Cook Islands","13.1000","17.5640"
"Nigeria","13.4000","206139.5890"
"Albania","14","2877.7970"
"New Caledonia","14.7000","285.4980"
"Zambia","15","18383.9550"
"Tunisia","15.9000","11818.6190"
"Iraq","16","40222.4930"
"Serbia","16","8737.3710"
"Montenegro","16.1000","628.0660"
"Micronesia","16.2000","115.0230"
"Spain","17.1000","46754.7780"
"Ethiopia","17.5000","114963.5880"
"Jordan","18.5000","10203.1340"
"Saint Vincent and the Grenadines","18.8000","110.9400"
"Armenia","18.9000","2963.2430"
"Sudan","19.6000","43849.2600"
"Botswana","20","2351.6270"
"Saint Lucia","20","183.6270"
"Malawi","20.4000","19129.9520"
"Bosnia and Herzegovina","20.5000","3280.8190"
"French Polynesia","21.8000","280.9080"
"Greece","22.3000","10423.0540"
"Dominica","23","71.9860"
"Nauru","23","10.8240"
"Macedonia","23.4000","2083.3740"
"Afghanistan","23.9000","38928.3460"
"Grenada","24","112.5230"
"Mozambique","24.5000","31255.4350"
"North Korea","25.6000","25778.8160"
"Venezuela","26.4000","28435.9400"
"Yemen","27","29825.9640"
"South Africa","27.6000","59308.6900"
"Gabon","28","2225.7340"
"Swaziland","28","1160.1640"
"Lesotho","28.1000","2142.2490"
"American Samoa","29.8000","55.1910"
"Libya","30","6871.2920"
"Kiribati","30.6000","119.4490"
"Namibia","34","2540.9050"
"Republic of the Congo","36","5518.0870"
"Marshall Islands","36","59.1900"
"Kenya","40","53771.2960"
"Djibouti","40","988"
"Haiti","40.6000","11402.5280"
"Senegal","48","16743.9270"
"Syria","50","17500.6580"
"Burkina Faso","77","20903.2730"